inner_index,index,row_desc,row_id,eng,rus,LEN,RESTRICT,,
33,1225,Menu_Move_Advanced_13,ME_NEW_00034,Double attack,Двойной удар,13,12,,
34,1228,Menu_Move_Advanced_14,ME_NEW_00035,Head Crush,Мозготряс,10,9,,
35,1231,Menu_Move_Advanced_15,ME_NEW_00036,Dash spin attack,Круговой удар в рывке,16,21,,
36,1234,Menu_Move_Advanced_16,ME_NEW_00037,Missile throw,Бросок ракеты,13,13,,
37,1237,Menu_Move_Advanced_17,ME_NEW_00038,Meteor throw,Бросок метеора,12,14,,
38,1240,Menu_Move_Advanced_18,ME_NEW_00039,Tech attacks,Спец. атаки,12,11,,
39,1243,Menu_Action_Coop_01,ME_NEW_00040,Friend toss,Дружеский бросок,11,16,,
40,1246,Menu_Action_Coop_02,ME_NEW_00041,Cheer up,Ободрить,8,8,,
41,1249,Menu_Action_Coop_03,ME_NEW_00042,Lend money,Одолжить монеты,10,15,,
42,1252,Menu_Action_Coop_04,ME_NEW_00043,Reanimate,Оживить,9,7,,
43,1255,Menu_Action_Coop_05,ME_NEW_00044,Life taker,Кровопийца,10,10,,
44,1258,Menu_Action_Coop_06,ME_NEW_00045,Super coop attack,Совместный мегаудар,17,19,,
45,231,Shop_01,ME_SHP_00001,SUSHI BAR,СУШИ-БАР,9,8,,
46,234,Item_01,ME_SHP_00002,Miso Soup,Мисосиру,9,8,,
47,237,Item_02,ME_SHP_00003,Avocado Hosomaki,Хосомаки с авокадо,16,18,,
48,240,Item_03,ME_SHP_00004,Salmon Nigiri,Нигири с лососем,13,16,,
49,243,Item_04,ME_SHP_00005,Ikura Don,Икурадон,9,8,,
50,246,Item_05,ME_SHP_00006,Rainbow Maki,Радужный ролл,12,13,,
51,249,Shop_02,ME_SHP_00007,DELICIOUS CUP,ДОБАВЬ-КА,13,9,,
52,252,Item_06,ME_SHP_00008,Tea,Чай,3,3,,
53,255,Item_07,ME_SHP_00009,Coffee,Кофе,6,4,,
54,258,Item_08,ME_SHP_00011,Espresso,Эспрессо,8,8,,
55,261,Item_09,ME_SHP_00013,Hot Chocolate,Горячий шоколад,13,15,,
56,264,Item_10,ME_SHP_00014,Iced Latte,Холодный латте,10,14,,
57,267,Shop_03,ME_SHP_00015,DEE’S TEX MEX,КОВАРНЫЙ ДИ,13,11,,
58,270,Item_11,ME_SHP_00016,Nachos,Начос,6,5,,
59,273,Item_12,ME_SHP_00017,Tacos,Тако,5,4,,
60,276,Item_13,ME_SHP_00018,Burrito Grande,Большой буррито,14,15,,
61,279,Item_14,ME_SHP_00019,Quesadilla,Кесадилья,10,9,,
62,282,Item_15,ME_SHP_00020,Fajitas,Фахита,7,6,,
63,285,Shop_04,ME_SHP_00021,MINI-MARTS,МИНИ-МАРКЕТ,10,11,,
64,288,Item_16,ME_SHP_00022,Chewing Gum,Жвачка,11,6,,
65,291,Item_17,ME_SHP_00023,Chocolate Bar,Шоколадка,13,9,,
66,294,Item_18,ME_SHP_00024,Cola,Кола,4,4,,
67,297,Item_19,ME_SHP_00025,Grape Juice,Виноградный сок,11,15,,
68,300,Item_20,ME_SHP_00026,Energy Drink,Энергетик,12,9,,
69,303,Shop_05,ME_SHP_00028,SHOCK WAVE RECORD,СТУДИЯ SHOCK WAVE,17,17,,
70,306,Item_21,ME_SHP_00029,The Clash At Demonhead,The Clash At Demonhead,22,22,,
71,309,Item_22,ME_SHP_00030,Smashing Turnips,Smashing Turnips,16,16,,
72,312,Item_23,ME_SHP_00031,Crash And The Boys,Crash And The Boys,18,18,,
73,315,Item_24,ME_SHP_00032,Winifred Hailey,Уинифред Хэйли,15,14,,
74,318,Item_25,ME_SHP_00033,Kupek,Kupek,5,5,,
75,321,Shop_06,ME_SHP_00034,FLATIRONS BOOKS,КНИГИ FLATIRONS,15,15,,
76,324,Item_26,ME_SHP_00035,Lost at Sea,Потерянная в море,11,17,,
77,327,Item_27,ME_SHP_00036,Vegan Cookbook,Веганские рецепты,14,17,,
78,330,Item_28,ME_SHP_00037,Get Rich Now!,Греби бабло!,13,12,,
79,333,Item_29,ME_SHP_00038,How to Study Hard,Напряги извилины,17,16,,
80,336,Item_30,ME_SHP_00039,101 Push-Ups,101 отжимания,12,13,,
81,339,Shop_07,ME_SHP_00040,NO ACCOUNT VIDEO,ПРОКАТ БЕЗ ДАРА,16,15,,
82,342,Item_31,ME_SHP_00041,Scott’s late fees,Просрочка Скотта,17,16,,
83,345,Item_32,ME_SHP_00043,The Mystical Head,Голова-загадка,17,14,,
84,348,Item_33,ME_SHP_00045,Seven Shaolin Masters,7 мастеров Шаолиня,21,18,,
85,351,Item_34,ME_SHP_00046,Aliens VS T-Rex,НЛО vs Ти-рекса,15,15,,
86,354,Item_35,ME_SHP_00047,Alone and Disturbed,Сам с собой и не в себе,19,23,,
87,357,Item_36,ME_SHP_00048,I Love Your Boyfriend,Твой парень — мой краш,21,22,,
88,360,Shop_08,ME_SHP_00049,WALLACE’S MYSTERY SHOP,ТАЙНАЯ ЛАВКА УОЛЛЕСА,22,20,,
89,363,Item_37,ME_SHP_00050,Tlaloc’s Feast,Пир Тлалока,14,11,,
90,366,Item_38,ME_SHP_00052,Ambrosia,Амброзия,8,8,,
91,369,Item_39,ME_SHP_00053,Bionic Arm,Бионическая рука,10,16,,
92,372,Item_40,ME_SHP_00054,Never-ending Fantasy,Бескрайняя фантазия,20,19,,
93,375,Item_41,ME_SHP_00055,Speedy the Porcupine,Дикобраз Резвый,20,15,,
94,378,Shop_09,ME_SHP_00056,FANCY CHIP WAGON,ЗАКУСОЧНАЯ НА КОЛЁСАХ,16,21,,
95,381,Item_42,ME_SHP_00057,French Fries,Картофель фри,12,13,,
96,384,Item_43,ME_SHP_00058,Poutine,Квебекский путин,7,16,,
97,387,Item_44,ME_SHP_00059,European Hot-Dog,Европейский хот-дог,16,19,,
98,390,Item_45,ME_SHP_00060,Buffalo Burger,Буффало бургер,14,14,,
99,393,Item_46,ME_SHP_00061,Croque-Monsieur,Крок-месье,15,10,,
100,396,Shop_10,ME_SHP_00062,LEO’S PLACE STAND,ЛАВКА ДВОРЦА ЛИ,17,15,,
101,399,Item_47,ME_SHP_00063,Carbonated Water,Газировка,16,9,,
102,402,Item_48,ME_SHP_00064,Classic Potato Chips,Картофельные чипсы,20,18,,
103,405,Item_49,ME_SHP_00065,Wristband,Браслет,9,7,,
104,408,Item_50,ME_SHP_00066,Hipster Cap,Хипстерская кепка,11,17,,
105,411,Item_51,ME_SHP_00067,Concert T-Shirt,Концертная футболка,15,19,,
106,414,Shop_11,ME_SHP_00068,THE FRYING TENGU,ПАЛЯЩИЙ ТЭНГУ,16,13,,
107,417,Item_52,ME_SHP_00069,Ramen,Рамэн,5,5,,
108,420,Item_53,ME_SHP_00070,Udon,Удон,4,4,,
109,423,Item_54,ME_SHP_00071,Tempura Vegetables,Темпура с овощами,18,17,,
110,426,Item_55,ME_SHP_00072,Tempura Shrimps,Темпура с креветками,15,20,,
111,429,Item_56,ME_SHP_00073,Kushiyaki Moriawase,Мориавасе кушияки,19,17,,
112,432,Shop_12,ME_SHP_00074,SCOTT’S DAD  BBQ,БАТИНО БАРБЕКЮ,16,14,,
113,435,Item_57,ME_SHP_00075,Iced Tea,Холодный чай,8,12,,
114,438,Item_58,ME_SHP_00076,Tropical Punch,Тропический пунш,14,16,,
115,441,Item_59,ME_SHP_00077,Kebab,Кебаб,5,5,,
116,444,Item_60,ME_SHP_00078,Hamburger,Гамбургер,9,9,,
117,447,Item_61,ME_SHP_00079,Filet Mignon,Филе-миньон,12,11,,
118,450,Shop_13,ME_SHP_00080,MOBILE’S SECRET HOUSE,ТАЙНОЕ ЛОГОВО МОБИЛА,21,20,,
119,453,Item_62,ME_SHP_00081,Herbal tea,Фиточай,10,7,,
120,456,Item_63,ME_SHP_00082,Wild Blueberries,Лесная черника,16,14,,
121,459,Item_64,ME_SHP_00083,Ginkgo Biloba,Гингко Билоба,13,13,,
122,462,Item_65,ME_SHP_00084,Sautéed Shiitake,Жареные шиитаке,16,15,,
123,465,Item_66,ME_SHP_00085,Special Training,Спец. тренировка,16,16,,
124,468,Shop_14,ME_SHP_00087,TECHNO SHACK,ТЕХНОБУДКА,12,10,,
125,471,Item_67,ME_SHP_00088,Food Pill,Таблетка,9,8,,
126,474,Item_68,ME_SHP_00089,Beef Jerky,Говяжьи чипсы,10,13,,
127,477,Item_69,ME_SHP_00090,Energy Tank,Енергетик,11,9,,
128,480,Item_70,ME_SHP_00091,Microwave Chicken,Микроволновая кура,17,18,,
129,483,Item_71,ME_SHP_00092,Fighting Software,Боевое ПО,17,9,,
130,850,Menu_Global_01,ME_GLO_00001,BACK,НАЗАД,4,5,,
131,858,Menu_Main_01,ME_MAI_00001,LOCAL GAME,ИГРА ПО СЕТИ,10,12,,
132,861,Menu_Main_02,ME_MAI_00002,XBOX LIVE GAME,XBOX LIVE GAME,14,14,,
133,864,Menu_Main_03,ME_MAI_00003,LEADERBOARDS,СПИСОК ЛИДЕРОВ,12,14,,
134,870,Menu_Main_04,ME_MAI_00004,ACHIEVEMENTS,ДОСТИЖЕНИЯ,12,10,,
135,873,Menu_Main_05,ME_MAI_00005,HELP & OPTIONS,ПОМОЩЬ И ОПЦИИ,14,14,,
136,876,Menu_Main_06,ME_MAI_00006,DOWNLOAD CONTENT,ЗАГРУЖАЕМЫЙ КОНТЕНТ,16,19,,
137,882,Menu_Main_07,ME_MAI_00007,EXIT GAME,ВЫЙТИ ИЗ ИГРЫ,9,13,,
138,917,Menu_Difficultysetting_Title,ME_DIF_00001,SELECT DIFFICULTY,ВЫБОР СЛОЖНОСТИ,17,15,,
139,920,Menu_Difficultysetting_01,ME_DIF_00002,AVERAGE JOE,ТИПИЧНЫЙ ВАНЯ,11,13,,
140,923,Menu_Difficultysetting_02,ME_DIF_00003,ROUGH & TOUGH,СКВОЗЬ ПОТ И СЛЁЗЫ,13,18,,
141,926,Menu_Difficultysetting_03,ME_DIF_00004,SUPREME MASTER,Я ЗНАЮ КУНГ-ФУ,14,14,,
142,931,Menu_Characterselection_Title,ME_CHA_00001,PLEASE SELECT A CHARACTER,ВЫБЕРИТЕ ПЕРСОНАЖА,25,18,,
143,934,Menu_Characterselection_01,ME_CHA_00002,LEVEL,УРОВЕНЬ,5,7,,
144,937,Menu_Characterselection_02,ME_CHA_00003,PRESS,НАЖМИТЕ,5,7,,
145,957,Menu_Selectstagepage_02,ME_MAP_00003,STATUS,СТАТУС,6,6,,
146,960,Menu_Selectstagepage_03,ME_MAP_00004,MOVE LIST,ПРИЁМЫ,9,6,,
147,974,Menu_Soundtest_Title,ME_SOU_00001,THE STUDIO,СТУДИЯ,10,6,,
148,977,Menu_Soundtest_01,ME_SOU_00002,SOUND,ЗВУК,5,4,,
149,980,Menu_Soundtest_02,ME_SOU_00003,MUSIC,МУЗЫКА,5,6,,
150,983,Menu_Soundtest_03,ME_SOU_00004,PLAY/STOP,ИГРАТЬ/СТОП,9,11,,
151,809,Menu_Pausescreen_title,ME_PAU_00001,PAUSED,ПАУЗА,6,5,,
152,812,Menu_Pausescreen_01,ME_PAU_00002,RESUME GAME,ПРОДОЛЖИТЬ,11,10,,
153,815,Menu_Pausescreen_02,ME_PAU_00003,RETURN TO MAP,К КАРТЕ МИРА,13,12,,
154,818,Menu_Pausescreen_03,ME_PAU_00004,MOVE LIST,ПРИЁМЫ,9,6,,
155,821,Menu_Pausescreen_04,ME_PAU_00005,LEADERBOARDS,СПИСОК ЛИДЕРОВ,12,14,,
156,827,Menu_Pausescreen_05,ME_PAU_00006,ACHIEVEMENTS,ДОСТИЖЕНИЯ,12,10,,
157,833,Menu_Pausescreen_06,ME_PAU_00007,HELP & OPTIONS,ПОМОЩЬ И ОПЦИИ,14,14,,
158,836,Menu_Pausescreen_07,ME_PAU_00008,MAIN MENU,ГЛАВНОЕ МЕНЮ,9,12,,
159,842,Menu_Pausescreen_08,ME_PAU_00009,RETURN TO MAP TO JOIN,К КАРТЕ МИРА И ВЛИТЬСЯ,21,22,,
160,1068,Menu_Statusscreen_01,ME_STA_00001,LV,УР,2,2,,
161,1071,Menu_Statusscreen_02,ME_STA_00002,NEXT,УР+1,4,4,,
162,1074,Menu_Statusscreen_03,ME_STA_00003,STR,МЩН,3,3,,
163,1077,Menu_Statusscreen_04,ME_STA_00004,DEF,ЗЩТ,3,3,,
164,1080,Menu_Statusscreen_05,ME_STA_00005,WP,РШМ,2,3,,
165,1083,Menu_Statusscreen_06,ME_STA_00006,SPD,СКР,3,3,,
166,1086,Menu_Statusscreen_07,ME_STA_00007,XP,ОПТ,2,3,,
167,1091,Menu_Stagecompletionscreen_Title,ME_COM_00001,AREA CLEAR!!!,ЗОНА ЧИСТА!!!,13,13,,
168,1094,Menu_Stagecompletionscreen_Rating,ME_COM_00002,rating:,рейтинг:,7,8,,
169,1097,Menu_Stagecompletionscreen_Rating_Value_01,ME_COM_00003,awesome,потрясно,7,8,,
170,1100,Menu_Stagecompletionscreen_Rating_Value_02,ME_COM_00004,totally rad,вообще улёт,11,11,,
171,1103,Menu_Stagecompletionscreen_Rating_Value_03,ME_COM_00005,deadly,смертоносно,6,11,,
172,1106,Menu_Stagecompletionscreen_Rating_Value_04,ME_COM_00006,coin hunter,охотник за монетами,11,19,,
173,1109,Menu_Stagecompletionscreen_Rating_Value_05,ME_COM_00007,bystander,наблюдатель,9,11,,
174,1112,Menu_Stagecompletionscreen_Rating_Value_06,ME_COM_00008,donator,альтруист,7,9,,
175,1115,Menu_Stagecompletionscreen_Rating_Value_07,ME_COM_00009,pacifist,пацифист,8,8,,
176,1118,Menu_Stagecompletionscreen_Rating_Value_08,ME_COM_00010,amateur,простофиля,7,10,,
177,1126,Menu_Newmove_Des,ME_NEW_00001,YOU GOT  [move name],ПОЛУЧЕНО [move name],20,20,,
178,1302,Menu_Movelistscreen_01,ME_MOV_00001,NEW,НОВЫЙ,3,5,,
179,1413,Menu_Movelistscreen_02,ME_MOV_00002,ON HIT,УДАР,6,4,,
180,1418,Menu_Gameoverscreen_Title,ME_GAM_00001,GAME OVER,КОНЕЦ ИГРЫ,9,10,,
181,1421,Menu_Gameoverscreen_01,ME_GAM_00002,CONTINUE?,ПРОДОЛЖИТЬ?,9,11,,
182,1424,Menu_Gameoverscreen_02,ME_GAM_00003,YES,ДА,3,2,,
183,1427,Menu_Gameoverscreen_03,ME_GAM_00004,NO,НЕТ,2,3,,
184,576,Menu_Shopscreen_01,ME_SHP_00117,SNACK,ПЕРЕКУС,5,7,,
185,1432,Menu_Messagewindow_01,ME_MES_00001,CONTINUE,ПРОДОЛЖИТЬ,8,10,,
186,1435,Menu_Messagewindow_02,ME_MES_00002,BACK,НАЗАД,4,5,,
187,1024,Menu_Leaderboards_Title,ME_LED_00001,THE BEST 24-YEAR-OLD...EVER!,ЛУЧШИЙ 24-ЛЕТКА... В МИРЕ!,28,26,,
188,486,Shopkeeper_01,ME_SHP_00093,Hello! What would you like?,Здарова! Чего желаешь?,27,22,,
189,489,Shopkeeper_02,ME_SHP_00094,Welcome! May I help you?,Привет! Чего подсказать?,24,24,,
190,492,Shopkeeper_03,ME_SHP_00095,"Ok, what do you want?","Ладно, чего хочешь?",21,19,,
191,495,Shopkeeper_04,ME_SHP_00096,Is this what you would like?,Ты хочешь именно это?,28,21,,
192,498,Shopkeeper_05,ME_SHP_00097,Yes,Да,3,2,,
193,501,Shopkeeper_06,ME_SHP_00098,No,Нет,2,3,,
194,504,Shopkeeper_07,ME_SHP_00099,To go?,С собой?,6,8,,
195,507,Shopkeeper_08,ME_SHP_00100,Thanks!,Спасибо!,7,8,,
196,510,Shopkeeper_09,ME_SHP_00101,"Sorry, not enough money.","Извини, тебе монет не хватает.",24,30,,
197,513,Shopkeeper_10,ME_SHP_00102,Anything else?,Что-то ещё?,14,11,,
198,516,Shopkeeper_11,ME_SHP_00103,Thank you!,Благодарю!,10,10,,
199,519,Shopkeeper_12,ME_SHP_00104,See you next time!,Заходи ещё!,18,11,,
200,522,Shopkeeper_13,ME_SHP_00105,Bye.,Пока.,4,5,,
201,528,Item_Effect_01,ME_SHP_00106,Heart Points,Здоровье,12,8,,
202,531,Item_Effect_02,ME_SHP_00107,Gut Points,Стойкость,10,9,,
203,534,Item_Effect_03,ME_SHP_00108,XP,ОПТ,2,3,,
204,540,Item_Effect_04,ME_SHP_00109,You are Hyper!,Ты в ударе!,14,11,,
205,543,Item_Effect_05,ME_SHP_00110,1-up!,+УР!,5,4,,
206,546,Item_Effect_06,ME_SHP_00111,DEF,ЗЩТ,3,3,,
207,552,Item_Effect_07,ME_SHP_00112,SPD,СКР,3,3,,
208,558,Item_Effect_08,ME_SHP_00113,WP,РШМ,2,3,,
209,564,Item_Effect_09,ME_SHP_00114,STR,МЩН,3,3,,
210,570,Item_Effect_10,ME_SHP_00115,You can now rent movies!,Теперь тебе доступен прокат фильмов!,24,36,,
211,573,Item_Effect_11,ME_SHP_00116,You learned a new secret technique! Check your move list!,Изучена новая секретная техника! Проверь список приёмов!,57,56,,
212,885,Menu_Titlescreen_01,ME_MAI_00008,PRESS START,НАЖМИТЕ СТАРТ,11,13,,
213,991,Menu_Leaderboards_01,ME_LED_00002,LEADERBOARDS,СПИСОК ЛИДЕРОВ,12,14,,
214,994,Menu_Leaderboards_02,ME_LED_00003,RANK,РАНГ,4,4,,
215,997,Menu_Leaderboards_03,ME_LED_00005,MONEY,МОНЕТЫ,5,6,,
216,1000,Menu_Leaderboards_04,ME_LED_00006,KO,KO,2,2,,
217,1003,Menu_Leaderboards_05,ME_LED_00007,PLAYER LISTED,ИГРОК В СПИСКЕ,13,14,,
218,1006,Menu_Leaderboards_06,ME_LED_00008,SHOW GAMER CARD,ПРОФИЛЬ ИГРОКА,15,14,,
219,1009,Menu_Leaderboards_07,ME_LED_00009,CHANGE FILTER,ИЗМЕНИТЬ ФИЛЬТР,13,15,,
220,1443,Menu_Xboxlivegame_Title,ME_XBO_00001,XBOX LIVE GAME,XBOX LIVE GAME,14,14,,
221,1449,Menu_Xboxlivegame_01,ME_XBO_00002,STORY,ИСТОРИЯ,5,7,,
222,1452,Menu_Xboxlivegame_02,ME_XBO_00003,WRESTLING MATCH,СПАРРИНГ,15,8,,
223,1455,Menu_Xboxlivegame_03,ME_XBO_00004,DODGE BALL,ВЫШИБАЛА,10,8,,
224,1460,Menu_Matchselection_Title,ME_MAT_00001,MATCH SELECTION,ВЫБОР БОЯ,15,9,,
225,1463,Menu_Matchselection_01,ME_MAT_00002,QUICK MATCH,БЫСТРЫЙ БОЙ,11,11,,
226,1466,Menu_Matchselection_02,ME_MAT_00003,CUSTOM MATCH,НАСТРАИВАЕМЫЙ БОЙ,12,17,,
227,1469,Menu_Matchselection_03,ME_MAT_00004,CREATE MATCH,СОЗДАТЬ БОЙ,12,11,,
228,1474,Menu_Custommatch_Title,ME_CUS_00001,CUSTOM MATCH,НАСТРАИВАЕМЫЙ БОЙ,12,17,,
229,1477,Menu_Custommatch_01,ME_CUS_00002,MAX PLAYERS,МАКС. ИГРОКОВ,11,13,,
230,1480,Menu_Custommatch_02,ME_CUS_00003,SEARCH,ПОИСК,6,5,,
231,1485,Menu_Creatematch_Title,ME_CRE_00001,CREATE MATCH,СОЗДАТЬ БОЙ,12,11,,
232,1488,Menu_Creatematch_01,ME_CRE_00002,QUICK MATCH,БЫСТРЫЙ БОЙ,11,11,,
233,1491,Menu_Creatematch_02,ME_CRE_00003,CUSTOM MATCH,НАСТРАИВАЕМЫЙ БОЙ,12,17,,
234,1494,Menu_Creatematch_03,ME_CRE_00004,CREATE MATCH,СОЗДАТЬ БОЙ,12,11,,
235,1499,Menu_Availablegames_Title,ME_AVA_00001,AVAILABLE GAMES,ДОСТУПНЫЕ ИГРЫ,15,14,,
236,1502,Menu_Availablegames_01,ME_AVA_00002,GAME,ИГРА,4,4,,
237,1505,Menu_Availablegames_02,ME_AVA_00003,NOT USED,НЕ ИСПОЛЬЗОВАНО,8,15,,
238,1508,Menu_Availablegames_03,ME_AVA_00004,MAX P.,МАКС. И.,6,8,,
239,1511,Menu_Availablegames_04,ME_AVA_00005,PING,ПИНГ,4,4,,
240,1514,Menu_Availablegames_05,ME_AVA_00006,SHOW GAMER CARD,ПРОФИЛЬ ИГРОКА,15,14,,
241,1517,Menu_Availablegames_06,ME_AVA_00007,SELECT,ВЫБОР,6,5,,
242,1522,Menu_Lobby_Title,ME_LOB_00001,LOBBY,ЛОББИ,5,5,,
243,1525,Menu_Lobby_01,ME_LOB_00002,KICK / INVITE (HOST ONLY),ВЫКИНУТЬ / ПРИГЛАСИТЬ,25,21,,
244,1528,Menu_Lobby_02,ME_LOB_00004,SHOW GAMER CARD,ПРОФИЛЬ ИГРОКА,15,14,,
245,1531,Menu_Lobby_03,ME_LOB_00005,TOGGLE READY,ГОТОВНОСТЬ,12,10,,
246,1536,Menu_Helo_Options_Title,ME_HEL_00001,HELP & OPTIONS,ПОМОЩЬ И ОПЦИИ,14,14,,
247,1539,Menu_Help_Options_01,ME_HEL_00002,HOW TO PLAY,КАК ИГРАТЬ,11,10,,
248,1542,Menu_Help_Options_02,ME_HEL_00003,CONTROLS,УПРАВЛЕНИЕ,8,10,,
249,1545,Menu_Help_Options_03,ME_HEL_00004,SETTINGS,НАСТРОЙКИ,8,9,,
250,1548,Menu_Help_Options_04,ME_HEL_00005,CREDITS,ТИТРЫ,7,5,,
251,1556,Menu_Settings_Title,ME_SET_00001,SETTINGS,НАСТРОЙКИ,8,9,,
252,1559,Menu_Settings_01,ME_SET_00002,MUSIC VOLUME,ГРОМКОСТЬ МУЗЫКИ,12,16,,
253,1562,Menu_Settings_02,ME_SET_00003,SFX VOLUME,ГРОМКОСТЬ SFX,10,13,,
254,1565,Menu_Settings_03,ME_SET_00004,AUDIO MODE,РЕЖИМ АУДИО,10,11,,
255,1568,Menu_Settings_04,ME_SET_00005,VIBRATION,ВИБРАЦИЯ,9,8,,
256,1571,Menu_Settings_05,ME_SET_00006,FRIENDLY HITS,УРОН ПО СВОИМ,13,13,,
257,1574,Menu_Settings_06,ME_SET_00007,CHARACTER DATA,ДАННЫЕ ИГРОКА,14,13,,
258,4,Menu_Howtoplay_Title,ME_HOW_00045,HOW TO PLAY,КАК ИГРАТЬ,11,10,,
259,1635,Menu_Controls_Title,ME_CON_00001,CONTROLS,УПРАВЛЕНИЕ,8,10,,
260,1638,Menu_Control_Menu_01,ME_CON_00002,CALL STRIKER,ПОДМОГА,12,7,,
261,1641,Menu_Control_Menu_02,ME_CON_00003,PAUSE,ПАУЗА,5,5,,
262,1644,Menu_Control_Menu_03,ME_CON_00004,SUPER ATTACK,СУПЕРУДАР,12,9,,
263,1647,Menu_Control_Menu_04,ME_CON_00005,FAST ATTACK,БЫСТРЫЙ УДАР,11,12,,
264,1650,Menu_Control_Menu_05,ME_CON_00006,STRONG ATTACK,МОЩНЫЙ УДАР,13,11,,
265,1653,Menu_Control_Menu_08,ME_CON_00007,MOVE,ДВИЖЕНИЕ,4,8,,
266,1656,Menu_Control_Menu_06,ME_CON_00008,BLOCK,БЛОК,5,4,,
267,1659,Menu_Control_Menu_07,ME_CON_00009,JUMP,ПРЫЖОК,4,6,,
268,1682,Menu_Characterdata_Title,ME_CHD_00001,CHARACTER DATA,ДАННЫЕ ИГРОКА,14,13,,
269,1685,Menu_Characterdata_01,ME_CHD_00002,LV,УР,2,2,,
270,1688,Menu_Characterdata_02,ME_CHD_00003,STR,МЩН,3,3,,
271,1691,Menu_Characterdata_03,ME_CHD_00004,DEF,ЗЩТ,3,3,,
272,1694,Menu_Characterdata_04,ME_CHD_00005,WP,РШМ,2,3,,
273,1697,Menu_Characterdata_05,ME_CHD_00006,SPD,СКР,3,3,,
274,1714,Menu_PopUp_CheckProfile,ME_XBT_00001,"Checking gamer profile, please wait…","Проверка профиля игрока, подождите...",36,37,,
275,1717,Menu_PopUp_NoProfile,ME_XBT_00002,"You must sign in a gamer profile to save the game, or you may lose all your progress.","Вы должны войти в свой игровой профиль, чтобы не потерять достигнутый прогресс.",85,79,,
276,1720,Menu_PopUp_BChooseProfile,ME_XBT_00003,Choose a gamer profile,Выберите профиль игрока,22,23,,
277,1723,Menu_PopUp_BPlayWithoutSaving,ME_XBT_00004,Play without saving,Играть без сохранения,19,21,,
278,1726,Menu_PopUp_PlayWithoutSave,ME_XBT_00005,"No storage device is selected for saving savepoint. Without a storage device selected, you cannot save your progress. Do you want to continue without saving or cancel?",Не выбрано хранилище данных. Вы не сможете сохранить свой прогресс. Вы хотите продолжить или отменить данное действие?,167,118,,
